MessageType,TransmissionType,SessionID,AircraftID,HexIdent,FlightID,DateGenerated,TimeGenerated,DateLogged,TimeLogged,Callsign,Altitude,GroundSpeed,Track,Latitude,Longitude,VerticalRate,Squawk,Alert,Emergency,SPI,IsOnGround
MSG,3,,,3C1459,,2025/11/19,13:14:04.509,2025/11/19,13:14:04.509,ICA3C1459,8365,260.0,289.0,50.09645,19.51798,,,0,0,0,0
MSG,3,,,4B1E44,,2025/11/19,13:14:04.512,2025/11/19,13:14:04.512,ICA4B1E44,8764,125.0,207.0,46.91357,7.26475,,,0,0,0,0
MSG,3,,,5F528C,,2025/11/19,13:14:04.514,2025/11/19,13:14:04.514,FLR5F528C,4039,139.0,73.0,49.65708,14.00852,,,0,0,0,0
MSG,3,,,DD0569,,2025/11/19,13:14:04.521,2025/11/19,13:14:04.521,FLRDD0569,597,71.0,135.0,53.78250,-2.67783,,,0,0,0,0
MSG,3,,,47887E,,2025/11/19,13:14:04.523,2025/11/19,13:14:04.523,ICA47887E,15825,206.0,87.0,60.39298,6.09557,,,0,0,0,0
MSG,3,,,48B111,,2025/11/19,13:14:04.524,2025/11/19,13:14:04.524,ICA48B111,1523,124.0,12.0,52.51753,20.64677,,,0,0,0,0
MSG,3,,,3B75F6,,2025/11/19,13:14:04.527,2025/11/19,13:14:04.527,ICA3B75F6,14893,311.0,339.0,45.42992,0.25397,,,0,0,0,0
MSG,3,,,478089,,2025/11/19,13:14:04.528,2025/11/19,13:14:04.528,ICA478089,11596,235.0,111.0,60.24005,10.22838,,,0,0,0,0
MSG,3,,,4CACB4,,2025/11/19,13:14:04.533,2025/11/19,13:14:04.533,ICA4CACB4,13650,375.0,61.0,59.86032,23.63595,,,0,0,0,0
MSG,3,,,402B1E,,2025/11/19,13:14:04.535,2025/11/19,13:14:04.535,G-BONW,829,72,,,,,,,,,
MSG,3,,,0779FA,,2025/11/19,13:14:04.535,2025/11/19,13:14:04.535,Egzi,2123,21.0,329.0,50.90940,20.75450,,,0,0,0,0
MSG,3,,,4864EF,,2025/11/19,13:14:04.537,2025/11/19,13:14:04.537,ICA4864EF,13025,355.0,36.0,51.60747,3.95542,,,0,0,0,0
MSG,3,,,46B82C,,2025/11/19,13:14:04.538,2025/11/19,13:14:04.538,ICA46B82C,35964,472.0,126.0,49.06707,10.07842,,,0,0,0,0
MSG,3,,,800B60,,2025/11/19,13:14:04.,,,,,,,,,,,,,,
MSG,3,,,71BE25,,2025/11/19,13:14:04.542,2025/11/19,13:14:04.542,ICA71BE25,3567,149.0,250.0,50.09452,8.81613,,,0,0,0,0
MSG,3,,,3EC970,,2025/11/19,13:14:04.543,2025/11/19,13:14:04.543,D-KRGA,11750,72.0,317.0,-23.36010,18.79515,,,0,0,0,0
MSG,3,,,3C6447,,2025/11/19,13:14:04.545,2025/11/19,13:14:04.545,D-AIBG,9568,316.0,211.0,50.48895,9.25380,,,0,0,0,0
MSG,3,,,DF167B,,2025/11/19,13:14:04.551,2025/11/19,13:14:04.551,FLRDF167B,2910,77.0,345.0,47.28453,8.29442,,,0,0,0,0
MSG,3,,,4CA56B,,2025/11/19,13:14:04.552,2025/11/19,13:14:04.552,EI-DWF,9848,350.0,78.0,50.58898,3.97152,,,0,0,0,0
MSG,3,,,DDAFF3,,2025/11/19,13:14:04.553,2025/11/19,13:14:04.553,F-CFAU,742,0.0,116.0,45.21930,5.84512,,,0,0,0,0
MSG,3,,,3C644C,,2025/11/19,13:14:04.555,2025/11/19,13:14:04.555,ICA3C644C,3927,154.0,262.0,48.38853,12.09920,,,0,0,0,0
MSG,3,,,3FFBDE,,2025/11/19,13:14:04.556,2025/11/19,13:14:04.556,ICA3FFBDE,4528,113.0,19.0,51.40962,14.21127,,,0,0,0,0
MSG,3,,,38BD,,,,,,,,,,,,,,,,,
MSG,3,,,4BCDAA,,2025/11/19,13:14:04.558,2025/11/19,13:14:04.558,ICA4BCDAA,4973,283.0,98.0,50.80887,7.30715,,,0,0,0,0
MSG,3,,,48C9E2,,2025/11/19,13:14:04.560,2025/11/19,13:14:04.560,ICA48C9E2,1623,89.0,348.0,52.54510,20.91902,,,0,0,0,0
MSG,3,,,4B293F,,2025/11/19,13:14:04.561,2025/11/19,13:14:04.561,HB-PQD,2684,97.0,241.0,4,,,,,,,
MSG,3,,,D012CC,,2025/11/19,13:14:04.562,2025/11/19,13:14:04.562,D-KSEF,11721,102.0,92.0,-26.67212,27.04365,,,0,0,0,0
MSG,3,,,3C66AE,,2025/11/19,13:14:04.563,2025/11/19,13:14:04.563,D-AIUN,31258,480.0,9.0,51.55673,8.98860,,,0,0,0,0
MSG,3,,,3E010C,,2025/11/19,13:14:04.564,2025/11/19,13:14:04.564,D-HRPC,1582,66.0,175.0,50.35842,7.48737,,,0,0,0,0
